ticker,name,tier,asset_class_focus,note
JPM,JPMorgan Chase & Co.,GSIB,multi,sells to panel only
BAC,Bank of America Corp.,GSIB,multi,sells to panel only
C,Citigroup Inc.,GSIB,multi,sells to panel only
WFC,Wells Fargo & Co.,GSIB,multi,sells to panel only
GS,Goldman Sachs Group Inc.,GSIB,multi,
MS,Morgan Stanley,GSIB,multi,
USB,U.S. Bancorp,super-regional,multi,
PNC,PNC Financial Services Group Inc.,super-regional,multi,
TFC,Truist Financial Corporation,super-regional,multi,
COF,Capital One Financial Corp.,super-regional,credit-card-heavy,frequent NPL divester; absorbed Discover 2025
DFS,Discover Financial Services,super-regional,credit-card,acquired by COF 2025-05; historical filings retained
SYF,Synchrony Financial,super-regional,credit-card,frequent NPL divester
ALLY,Ally Financial Inc.,super-regional,auto,frequent auto-tape seller
CFG,Citizens Financial Group Inc.,super-regional,multi,
KEY,KeyCorp,regional,multi,
FITB,Fifth Third Bancorp,regional,multi,
RF,Regions Financial Corporation,regional,multi,
MTB,M&T Bank Corporation,regional,multi,
HBAN,Huntington Bancshares Inc.,regional,multi,
NTRS,Northern Trust Corporation,regional,wealth,
BK,Bank of New York Mellon Corp.,regional,custody,
STT,State Street Corporation,regional,custody,
CMA,Comerica Incorporated,regional,multi,
ZION,Zions Bancorporation,regional,multi,
FHN,First Horizon Corporation,regional,multi,
WAL,Western Alliance Bancorporation,regional,multi,
WBS,Webster Financial Corporation,regional,multi,
FLG,Flagstar Financial Inc.,regional,multi,formerly NYCB; aggressive NPL divestiture history
EWBC,East West Bancorp Inc.,regional,multi,
SNV,Synovus Financial Corp.,regional,multi,
PB,Prosperity Bancshares Inc.,regional,multi,
FCNCA,First Citizens BancShares Inc.,regional,multi,absorbed Silicon Valley Bank 2023; large NPL book
PNFP,Pinnacle Financial Partners Inc.,regional,multi,Tennessee + Southeast growth
CFR,Cullen/Frost Bankers Inc.,regional,multi,Texas regional
BOKF,BOK Financial Corporation,regional,multi,Oklahoma + Texas energy lender
CBSH,Commerce Bancshares Inc.,regional,multi,Missouri + Midwest
ONB,Old National Bancorp,regional,multi,Indiana + Midwest
FNB,F.N.B. Corp.,regional,multi,Pittsburgh + Mid-Atlantic
UMBF,UMB Financial Corporation,regional,multi,Missouri + Midwest
SSB,SouthState Bank Corp.,regional,multi,Southeast regional
VLY,Valley National Bancorp,regional,multi,Northeast + Florida regional
NWBI,Northwest Bancshares Inc.,regional,multi,Pennsylvania + Mid-Atlantic
HOMB,Home BancShares Inc.,regional,multi,Arkansas + Southeast
SOFI,SoFi Technologies Inc.,fintech,consumer,fast-growing consumer-loan portfolio
UPST,Upstart Holdings Inc.,fintech,consumer,AI-underwritten unsecured consumer
AFRM,Affirm Holdings Inc.,fintech,bnpl,buy-now-pay-later; rising charge-offs
LC,LendingClub Corporation,fintech,consumer,marketplace consumer lender
PGY,Pagaya Technologies Ltd.,fintech,consumer,asset-backed consumer credit
OPRT,Oportun Financial Corporation,fintech,subprime-consumer,Latino-focused subprime
OMF,OneMain Holdings Inc.,specialty,subprime-consumer,largest subprime consumer lender
CACC,Credit Acceptance Corporation,specialty,subprime-auto,deep-subprime auto specialist
WRLD,World Acceptance Corporation,specialty,subprime-consumer,small-dollar installment loans
RKT,Rocket Companies Inc.,mortgage,mortgage,largest US mortgage originator
PFSI,PennyMac Financial Services Inc.,mortgage,mortgage,mortgage servicer + originator
NLY,Annaly Capital Management Inc.,mortgage,mortgage,mortgage REIT
NAVI,Navient Corp.,student,student-loans,private + FFELP servicer
SLM,SLM Corporation,student,student-loans,Sallie Mae private student
